"carat,""price"",""color"",""clarity"",""depth"",""table"",""cut"",""x"",""y"",""z"""
"0.3,554,""H"",""SI1"",63.1,56,""Very Good"",4.29,4.27,2.7"
"0.3,554,""H"",""SI1"",62.9,59,""Premium"",4.28,4.24,2.68"
"0.3,554,""H"",""SI1"",62.5,57,""Premium"",4.29,4.25,2.67"
"0.3,554,""H"",""SI1"",63.7,57,""Good"",4.28,4.26,2.72"
"0.26,554,""F"",""VVS2"",59.2,60,""Very Good"",4.19,4.22,2.49"
"0.26,554,""E"",""VVS2"",59.9,58,""Very Good"",4.15,4.23,2.51"
"0.26,554,""D"",""VVS2"",62.4,54,""Very Good"",4.08,4.13,2.56"
"0.26,554,""D"",""VVS2"",62.8,60,""Very Good"",4.01,4.05,2.53"
"0.26,554,""E"",""VVS1"",62.6,59,""Very Good"",4.06,4.09,2.55"
"0.26,554,""E"",""VVS1"",63.4,59,""Very Good"",4,4.04,2.55"
"0.26,554,""D"",""VVS1"",62.1,60,""Very Good"",4.03,4.12,2.53"
"0.26,554,""E"",""VVS2"",62.9,58,""Ideal"",4.02,4.06,2.54"
"0.38,554,""I"",""SI2"",61.6,56,""Ideal"",4.65,4.67,2.87"
